Soil types. 5 classes
3
X_km
Y_km
Class ID
6.410397339e+01 4.009592056e+01 2.000000000e+00 
6.695160675e+01 3.465047073e+01 2.000000000e+00 
4.256961060e+01 2.124484062e+01 2.000000000e+00 
5.755014038e+01 5.483309937e+01 2.000000000e+00 
5.383057022e+01 1.741596031e+01 2.000000000e+00 
5.083428955e+01 2.787981033e+01 2.000000000e+00 
5.519868088e+01 1.943860054e+01 2.000000000e+00 
5.380699921e+01 3.356948853e+01 2.000000000e+00 
5.874124908e+01 4.908427048e+01 2.000000000e+00 
5.662369156e+01 4.576971817e+01 2.000000000e+00 
6.384268951e+01 2.403396988e+01 2.000000000e+00 
5.899798965e+01 2.396228027e+01 2.000000000e+00 
-8.102485657e+00 2.290687943e+01 3.000000000e+00 
-9.902112961e+00 3.456056976e+01 3.000000000e+00 
-8.493092537e+00 3.456312943e+01 3.000000000e+00 
-6.122278214e+00 4.843647003e+01 3.000000000e+00 
-8.058361053e+00 4.428190994e+01 3.000000000e+00 
-6.843013763e+00 4.454568100e+01 3.000000000e+00 
1.155440044e+01 1.261919975e+01 3.000000000e+00 
2.082032013e+01 6.297040939e+01 3.000000000e+00 
1.392121029e+01 1.593838978e+01 3.000000000e+00 
1.857283974e+01 6.726056671e+01 3.000000000e+00 
-5.315393925e+00 4.631251144e+01 3.000000000e+00 
9.447222710e+00 6.362870026e+01 3.000000000e+00 
-1.048834038e+01 4.372163010e+01 3.000000000e+00 
1.594324970e+01 6.397541046e+01 3.000000000e+00 
1.756516075e+01 6.054758835e+01 3.000000000e+00 
-1.421356964e+01 4.377848053e+01 3.000000000e+00 
3.934460068e+01 7.649066162e+01 3.000000000e+00 
3.597378922e+01 7.135901642e+01 3.000000000e+00 
1.879175949e+01 6.251689148e+01 3.000000000e+00 
-1.091292024e+00 1.308335018e+01 3.000000000e+00 
-2.786727905e+00 1.337312031e+01 3.000000000e+00 
9.561091065e-01 1.993408966e+01 3.000000000e+00 
5.944261074e+00 1.372593021e+01 3.000000000e+00 
-1.723184013e+01 3.779882050e+01 3.000000000e+00 
2.426100922e+01 -5.092251968e+01 3.000000000e+00 
-1.539680004e+01 3.321239090e+01 3.000000000e+00 
-7.995361090e-01 1.773596954e+01 3.000000000e+00 
-2.106612015e+01 3.683929825e+01 3.000000000e+00 
-1.194674969e+01 2.205648041e+01 3.000000000e+00 
-1.747694016e+01 2.366044998e+01 3.000000000e+00 
-1.626689911e+01 2.999160957e+01 3.000000000e+00 
-1.008043957e+01 1.604438019e+01 3.000000000e+00 
2.382906914e+01 -3.254336929e+01 3.000000000e+00 
3.188434982e+01 -2.913215065e+01 3.000000000e+00 
2.915303040e+01 -5.006863022e+01 3.000000000e+00 
2.142313957e+01 -5.317367935e+01 3.000000000e+00 
-1.314371014e+01 2.441958046e+01 3.000000000e+00 
-9.324190140e+00 7.885896206e+00 3.000000000e+00 
-9.795045853e+00 9.721090317e+00 3.000000000e+00 
-1.556577015e+01 1.819573021e+01 3.000000000e+00 
3.804690933e+01 -4.710554886e+01 3.000000000e+00 
3.198693085e+01 -4.327779007e+01 3.000000000e+00 
-6.234030151e+01 4.168478012e+01 3.000000000e+00 
2.408354950e+01 -3.587094879e+01 3.000000000e+00 
2.335454941e+01 -4.316764832e+01 3.000000000e+00 
-6.903265381e+01 3.944477081e+01 3.000000000e+00 
-6.716880798e+01 3.924156952e+01 3.000000000e+00 
-2.263328934e+01 2.827895927e+01 3.000000000e+00 
1.463130951e+00 -4.758985138e+01 3.000000000e+00 
-6.997123718e+01 4.357682037e+01 3.000000000e+00 
2.218592072e+01 -2.421953964e+01 3.000000000e+00 
-6.989388275e+01 4.080290985e+01 3.000000000e+00 
2.497374916e+01 -3.533726883e+01 3.000000000e+00 
2.080812073e+01 -3.462054062e+01 3.000000000e+00 
1.419993973e+01 -5.053722000e+01 3.000000000e+00 
1.716041946e+01 -2.321311951e+01 3.000000000e+00 
1.606179047e+01 -2.794485092e+01 3.000000000e+00 
2.178751945e+01 -2.243604088e+01 3.000000000e+00 
1.007781029e+01 -2.402111053e+01 3.000000000e+00 
-7.201239777e+01 3.956657028e+01 3.000000000e+00 
-2.246701050e+01 2.607243919e+01 3.000000000e+00 
-7.323915863e+01 3.769079971e+01 3.000000000e+00 
-2.896055877e-01 -3.217029953e+01 3.000000000e+00 
4.637368917e-01 -3.048945999e+01 3.000000000e+00 
-7.594236755e+01 3.771522903e+01 3.000000000e+00 
1.242481041e+01 -3.702991104e+01 3.000000000e+00 
-6.945810699e+01 3.617990875e+01 3.000000000e+00 
1.327390957e+01 -2.234247017e+01 3.000000000e+00 
5.346941948e+00 -3.454870987e+01 3.000000000e+00 
-4.330207062e+01 2.473781967e+01 3.000000000e+00 
-6.355081940e+01 4.915716171e+01 3.000000000e+00 
-2.628762054e+01 3.570785141e+01 3.000000000e+00 
-7.223499298e+01 4.419932938e+01 3.000000000e+00 
-2.090398979e+01 1.662455940e+01 3.000000000e+00 
-6.507511139e+01 3.028191948e+01 3.000000000e+00 
-7.653468323e+01 3.672840118e+01 3.000000000e+00 
-7.421765137e+01 4.165644836e+01 3.000000000e+00 
-6.212350845e+01 4.479074097e+01 3.000000000e+00 
-6.332825089e+01 3.134476089e+01 3.000000000e+00 
-4.258337021e+01 2.289639091e+01 3.000000000e+00 
-7.515824890e+01 3.502379990e+01 3.000000000e+00 
-4.074700928e+01 2.278105927e+01 3.000000000e+00 
-4.348921967e+01 2.833745003e+01 3.000000000e+00 
-6.234030151e+01 4.168478012e+01 3.000000000e+00 
-2.949733925e+01 2.889365959e+01 3.000000000e+00 
-7.412281799e+01 4.590546036e+01 3.000000000e+00 
-4.484867096e+01 2.294245911e+01 3.000000000e+00 
-3.866664886e+01 2.137356949e+01 3.000000000e+00 
-3.183381081e+01 2.741843987e+01 3.000000000e+00 
-3.286297989e+01 1.439754963e+01 3.000000000e+00 
-2.519037056e+01 1.195629025e+01 3.000000000e+00 
-7.338699341e+01 4.657022095e+01 3.000000000e+00 
